text;klasifikasi
i am watching president  s video speech do you wanna know why   democrats want to convict president  jeal;Negatif
senate republicans must vote to convict  conservatives must also reject faux populist politics that means activel;Negatif
i pray that you  your fellow republicans have   courage to convict   maki;Negatif
ann coulter makes brutal parting shot as  leaves office dear gop senators please vote to convict;Negatif
mitch mcconnell reportedly threatened president  if you pardon julian assange we are much more likely to co;Netral
has   majority leader received any intelligence from   fbi or o r agencies that shed light on  s role since;Netral
mitch mcconnell starts telling   truth literally on   last day of  s term  not enough to compensate for decades of se;Netral
i don t know what  said in   letter he left for u mr president but i know it s a bunch of lies i t;Netral
 isn t going to be convicted dt is now a private citizen  he can not be impeach;Netral
 will be out of office in a few hours convict him in   senate it isn t true that it has no point it wi;Negatif
i ll accept mitch mcconnell s words after he votes to convict  for   insurrection if he doesn t  n his;Negatif
sign   petition dem   u s senate convict  disqualify  take action here;Negatif
it would be better for   gop if  y boldly stated that what  did isn t what republicans do co;Netral
  push against cheney   fox news shift  s implausible rd party rumblings it s all a message to   senate go;Netral
 will continue to foment anger  resentment amongst his followers if he s not dealt with by his party writes forme;Netral
i started to say it s futile to expect mitch to do   right thing but  n i reali;Netral
 what will you do vote to convict  hold your seditious colleagues accountable;Negatif
if you pardon julian assange we are much more likely to convict you in an impeachment trial that s not a message f;Negatif
 will spend   next four years spinning   lie that his administration was   great shining governm;Netral
mitch mcconnell said today   pro  mob that stormed   capitol was provoked by   president  o r powerful people;Positif
to bad  y have to wait until noon to be sworn in if  y were sworn in   day that  ir votes were certified t;Netral
just my opinion but if   senate votes to convict  every pardon following   second should become null  void;Negatif
  full quote was president   o r powerful people whom he failed to name don t be so quick to giv;Netral
an impeach conviction of criminal donald  means he  loses his k pension for   rest of hi;Netral
because gop senators would have certainly voted to convict  y still may presumptive pardon would;Negatif
interesting cocaine mitch is saying that   senate will convict if  does somethi;Negatif
  senate must convict  for inciting   terrorist attack raise your h if you agree;Negatif
now that  s out can we follow through to convict him;Negatif
it seems that  is not that courageous;Netral
 said he will be back in a different form i don t know what that means unless it s with his new;Netral
mitch is so over  lol he told him if you pardon assange i ll convict you;Negatif
  fact that he s arriving to   same song  y blared as   whipped up   mob that stormed   capitol it s   same dog whi;Netral
unless he makes it retroactive i don t think a new order would affect him   best way to stop t;Netral
nah   senate still has to vote to convict    y needs to be a separate vote to sa;Negatif
you ve got   opportunity to heal   nation in your hs be united in doing what is;Netral
convict donald  so he can never hold office again republicans have ano r chance to stop him but will  y;Negatif
hello better angels calling  convict  amp ensure he can never again run for office over  out;Negatif
someone like  must not ever happen again our country may not survive ano r one like him we must convict;Negatif
sure makes it even more necessary that senate convict    thing djt needs is bannon s film skills to refr;Negatif
  case for impeaching donald  was unassailable   senate should move fast to convict him too our cover in nort;Negatif
as long as you  your fellow members unite  convict  things will work out just fine;Negatif
until you got to convict  anything you claim is invalid in my mind;Negatif
mr mcconnell has said he is considering whe r he would vote to convict mr  during his second impeachment t;Negatif
i want you to know   movement we started is only   beginning  said this man y all don t convict this man;Negatif
yet  still referred to our movement try convict imprison;Negatif
on where senate majority leader mitch mcconnell may st on pres  s impeachment he s sent signals to;Netral
he had been blackmailed to not to pardon assange;Netral
fired dhs cybersecurity head says  should be convicted for inciting insurrection;Netral
if   senate republicans vote to convict president  i will change my party affiliation;Negatif
dude  will ei r be in jail or escaped to russia   senate;Negatif
convict   remove him from running office ever again;Negatif
  gop has to vote to convict  o rwise his patriot party may keep  m from winning  ir next election i;Netral
i think we need to replace everything that anyone in that administration specifically any  has;Netral
a reminder that donald  lost   senate should still convict him;Negatif
republican voters will leave   party if gop senators vote in impeachment proceedings to convict president  i will g;Negatif
if you do not move heaven amp earth to convict   remove him from   republican party he will s;Negatif
now we want seventeen senators enough to convict ;Negatif
if you mean that you will vote to convict donald  for inciting an insurrection at   capitol;Negatif
r paul warns of a mass exodus from   republican party if gop senators come toge r with democrats to convict;Negatif
 pardons aviem sella an israeli mossad agent who was   recruiter  operator of mega treason convict jonathan po;Negatif
didn t you hear   latest is that  is only leaving until march nd when   military tribunal wi;Netral
