"","text","score","klasifikasi"
"1","now do the job you know that needs to be done and convict trump so he can never run again other your words mean nothing",-1,"Negatif"
"2","gop senators warn mcconnell could face backlash if he votes to convict trump",-1,"Negatif"
"3","these absolute dingoes aren t even dispensing the usual we ll have to evaluate all the trial evidence platitudes they",0,"Netral"
"4","a good way to unite the country would be to convict and prosecute donald trump and hold accountable every member of con",-1,"Negatif"
"5","time for a bipartisan conviction and disqualification for holding office in the future in the senate tell your senators that",0,"Netral"
"6","republicans senators warn minority leader mitch mcconnell could face backlash if he votes to convict former president trum",-2,"Negatif"
"7","let s hope this the vote to convict trump",-1,"Negatif"
"8","just convict trump",-1,"Negatif"
"9","so chucky wants to have a trial for trump over nothing and hope to convict so he cannot run for president again",-1,"Negatif"
"10","let s move forward with a bipartisan senate vote to convict trump and bar him from holding office again",-1,"Negatif"
"11","look trump is a thing of the past act like it he needs accountability now that s what is wrong w",0,"Netral"
"12","y all got zero room to talk on your side off the aisle bring it back after we see some accountability",0,"Netral"
"13","if the republican party does not convict trump history will not look kindly on the party a",-1,"Negatif"
"14","convict trump",-1,"Negatif"
"15","how can it be peaceful when republican voters attacked the capitol killed an officer more americans di",0,"Netral"
"16","fwiw one of my predictions is that they either convict trump or mcconnell resigns from the leadership",-1,"Negatif"
"17","i think he would n retire gop senators warn mcconnell could face backlash if he votes to convict trump",-1,"Negatif"
"18","day impeach and convict trump",-1,"Negatif"
"19","now do the right thing and vote to convict trump",-1,"Negatif"
"20","no no no sen ron johnson a wisconsin republican and trump ally told cnn when asked if he could support mcconnel",0,"Netral"
"21","impeach and convict trump for his treason",-1,"Negatif"
"22","so is the decision to convict going to be based on trump s actions and behavior or political exped",-1,"Negatif"
"23","please vote to convict trump the damage has been great and heart wrenching this hasn t been idea",-1,"Negatif"
"24","gop senators didn t have the courage to convict trump in his st impeachment i suspect these clowns care more abou",-1,"Negatif"
"25","senate has to convict just do trump can t run for office ever again and can not have usss protection",-1,"Negatif"
"26","i was totally surprised by the actions of the gop i truly thought they would abandon trump much earlier",0,"Netral"
"27","is this the first step to canceling 
also stimmy v 
and right after convict trump",-1,"Negatif"
"28","former democratic vp sen gore says he would vote to convict trump in senate trial for capitol riot just the news h",-1,"Negatif"
"29","so i suppose all these do not understand what could happen to them if they don t",0,"Netral"
"30","ron johnson is a member of the treason caucus of course he doesn t want mcconnell to vote to convict trump johnso",-1,"Negatif"
"31","job priority gt convict trump first then do the other jobs",-1,"Negatif"
"32","wait i just found out that they have enough votes in the senate to convict trump this is the greatest day ever",-1,"Negatif"
"33","no no no sen ron johnson a wisconsin republican and trump ally told cnn when asked if he could support mcco",0,"Netral"
"34","impeaching president trump would be a huge mistake for the republican party sen rand paul this impeachment wou",0,"Netral"
"35","if the gop doesn t convict and bar trump from running for office again he will destroy the gop he may anyways but they built that boat",-1,"Negatif"
"36","trump is guilty of course mcconnell will vote to convict the fascist republican senators who don t v",-1,"Negatif"
"37","senate needs to convict trump amp relieve him of his presidential privileges erase him from history",-1,"Negatif"
"38","mcconnell and the rinos plan to convict trump a private citizen to purge him and the america first conservatives 

let yo",-1,"Negatif"
"39","there s important reason to convict trump in senate in this impeachment the sad fact is that if he had started the violence",-1,"Negatif"
"40","please stop being your obstructionist hypocritical self and vote to convict donald j trump",-1,"Negatif"
"41","lindsey says the party will be destroyed if they convict trump 

personally i think they ll be destroyed if they don t 

ma",-1,"Negatif"
"42","someone like trump must not ever happen again our country may not survive another one like him 

we must convict",-1,"Negatif"
"43","hope show decency vote right will try again latest theref",0,"Netral"
"44","sen mitch mcconnell signaled in a letter to his colleagues that he has not ruled out voting to convict pres trump in an upcoming",-1,"Negatif"
"45","trumps bitch is hotter today she was like buddy buddy with the media",0,"Netral"
"46","to many senate republicans including senate majority leader mitch mcconnell there s no question in their minds president trump",0,"Netral"
"47","you must convict trump for inciting insurrection you have already allowed trump to commit crimes",-1,"Negatif"
"48","will try again latest therefore it s important majority of senat in process n",0,"Netral"
"49","sign convict trump and expel senators who voted against certification and i ll deliver a copy to your officials",-1,"Negatif"
"50","convict trump
expel hawley
expel cruz",-1,"Negatif"
"51","it was not peaceful your using trump for your own agenda may have come to an end but your culpab",0,"Netral"
"52","how about sending a message to those people you helped get duped by the big lie 

tell them trump pard",0,"Netral"
"53","ossoff and warnock from georgia were seated in the u s senate today meaning more vo",0,"Netral"
"54","will try again latest therefore it s important majority of senat in process not onl",0,"Netral"
"55","it seems to me that if they convict trump now and he s out of politics and the trumpets s",-1,"Negatif"
"56","you convict trump then we ll talk about unity",-1,"Negatif"
"57","convict trump and we form a patriot party you will never have power again",0,"Netral"
"58","the senate must convict trump for inciting the terrorist attack raise your hand if you agree",-1,"Negatif"
"59","mcconnell says days is not enough time for senate to convict trump of inciting an insurrection against the united states gov",-1,"Negatif"
"60","these absolute dingoes aren t even dispensing the usual we ll have to evaluate all the trial evidence platitudes",0,"Netral"
"61","republicans senators warn minority leader mitch mcconnell could face backlash if he votes to convict former preside",-1,"Negatif"
"62","i see a lot of celebrating that trump is gone he s like a bad fart the stench has not left the room the u s senate bet",0,"Netral"
"63","convict trump take that action amp you ll be believable",-1,"Negatif"
"64","also trump really did nothing to be convicted hes out of office now br",0,"Netral"
"65","i am glad to see you show your humanity convict the traitor trump and urge others in the gop to",-1,"Negatif"
"66","they must impeach amp convict trump 
they also need to hold the seditious assholes in the house amp senate",-1,"Negatif"
"67","then commit to convince your party to convict trump and remove all of his presidential privelages",-1,"Negatif"
"68","now do your duty and convict donald trump for inciting insurrection and for sedition",-1,"Negatif"
"69","i am watching president trump s video speech do you wanna know why the democrats want to convict president trump jeal",-1,"Negatif"
"70","sign convict and remove donald trump and i ll deliver a copy to your officials",-1,"Negatif"
"71","thank you leader mcconnell for making it peaceful and helping to transition the new administration tr",0,"Netral"
"72","and despite cnn s rantings there is insufficient e",0,"Netral"
"73","first eliminate the filibuster second convict trump third restore enhanc",-1,"Negatif"
"74","gop senators warn mcconnell could face backlash if he votes to convict trump amp",-1,"Negatif"
"75","dear and please convict mr trump now remove the extr",-1,"Negatif"
"76","a press briefing bruce springsteen jon bon jovi tom hanks yo yo ma and they say president biden will have too much",0,"Netral"
"77","mitch mcconnell starts telling the truth literally on the last day of trump s term

not enough to compensate for decades of se",0,"Netral"
"78","high time do it job and convict trump",-1,"Negatif"
"79","now is the time to reclaim your party you must convict trump and strip him from ever holding offi",-1,"Negatif"
"80","well said unite with boden to heal this nation but justice is necessary to heal convict trump remove post",-1,"Negatif"
"81","you can start by congratulating voting to convict trump and quit standing in the",-1,"Negatif"
"82","senate should vote to convict trump failure to do so means every no vote is actually a vo",-1,"Negatif"
"83","dear sen johnson your pal then president trump got a police officer killed that at least",0,"Netral"
"84","i don t care how wonderful today was the republican party is hellbent on being awful they have no intention of c",0,"Netral"
"85","clean your house sir convict trump",-1,"Negatif"
"86","traitors never change convict trump",-1,"Negatif"
"87","there was no peaceful transfer of power people died at the capitol because of trump do what s rig",0,"Netral"
"88","it s your opinion and your entitled to it however any republican who votes t",0,"Netral"
"89","i love seeing republicans eat each other they lose either way if they vote to convict then the cruzes and",-1,"Negatif"
"90","will try again latest therefore it s important majority of senat in process not only",0,"Netral"
"91","trump is going to start his own party now that he s had a taste of the money to be made republicans would",0,"Netral"
"92","to not convict trump a nd time when he s even more obviously guilty would be a crime",-1,"Negatif"
"93","you can start by doing things tom admit that the election was free and fair and vote t",0,"Netral"
"94","now cut a deal where mitch gets the senate to convict trump for the impeachment charges and fine",-1,"Negatif"
"95","it s possible trump has signed but kept secret pardons for himself his family and his close supporters if so my be",0,"Netral"
"96","mitch mcconnell reportedly threatened president trump if you pardo",0,"Netral"
"97","some gop senators warn mcconnell could face backlash if he votes to convict trump",-1,"Negatif"
"98","get to work and confirm all cabinet nominees and convict trump",-1,"Negatif"
"99","someone tell mcconnell that if there was ever a time to get rid of trump for good it s now 

quickly convict him and ban h",-1,"Negatif"
"100","he did now convict trump so we can move forward",-1,"Negatif"
"101","thank you alma adams convict trump as warning to future presidents and domestic terrorists",-1,"Negatif"
"102","if any gop member doubts the reach has with voters today you have your answer

 million views current",0,"Netral"
"103","unfortunately it s only over for the moment will try again latest in therefore it is",0,"Netral"
"104","convict him
 sealed lawsuit",-1,"Negatif"
